mu_B,energy_density,pressure
1269.0,273.8280802639394,78.46310888554986
1270.0,274.33118203570643,78.81811082173385
1271.0,274.83436402826175,79.17363038332725
1272.0,275.3376281383364,79.52966718624849
1273.0,275.8409762480283,79.88622084921057
1274.0,276.34441022495304,80.24329099369496
1275.0,276.84793192239346,80.60087724392612
1276.0,277.351543179448,80.9589792268462
1277.0,277.8552458211758,81.3175965720902
1278.0,278.3590416587405,81.67672891196072
1279.0,278.86293248955315,82.03637588140431
1280.0,279.36692009741125,82.39653711798688
1281.0,279.871006252638,82.75721226186964
1282.0,280.3751927122186,83.11840095578619
1283.0,280.8794812199354,83.48010284501878
1284.0,281.3838735065011,83.84231757737518
1285.0,281.88837128968964,84.20504480316615
1286.0,282.3929762744673,84.568284175183
1287.0,282.89769015311936,84.93203534867486
1288.0,283.4025146053784,85.2962979813273
1289.0,283.9074512985484,85.66107173324023
1290.0,284.4125018876277,86.02635626690628
1291.0,284.9176680154323,86.39215124719013
1292.0,285.42295131271544,86.75845634130643
1293.0,285.9283533982865,87.12527121880024
1294.0,286.4338758791287,87.49259555152558
1295.0,286.9395203505156,87.8604290136256
1296.0,287.4452883961245,88.22877128151212
1297.0,287.95118158815075,88.59762203384604
1298.0,288.45720148741907,88.96698095151758
1299.0,288.96334964349387,89.33684771762677
1300.0,289.469627594789,89.70722201746452
1301.0,289.97603686867467,90.07810353849304
1302.0,290.4825789815846,90.44949197032777
1303.0,290.98925543912094,90.82138700471813
1304.0,291.49606773615835,91.1937883355296
1305.0,292.0030173569462,91.5666956587253
1306.0,292.5101057752106,91.94010867234782
1307.0,293.0173344542546,92.31402707650196
1308.0,293.5247048470567,92.6884505733365
1309.0,294.0322183963692,93.06337886702734
